mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_tasks;time(s);
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;10;312;2496;500;GATP;GATP(Greedy);2549;ES_1(R_1);94100;500;0.052159;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;10;312;999;500;GATP;GATP(Greedy);1319;ES_1(R_1);74738;500;0.216628;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-1.task;5000;21;35;10;312;500;500;GATP;GATP(Greedy);1209;ES_1(R_1);71386;500;4.448502;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-2.task;5000;21;35;10;312;250;500;GATP;GATP(Greedy);1241;ES_1(R_1);71932;500;6.347024;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-5.task;5000;21;35;10;312;100;500;GATP;GATP(Greedy);1256;ES_1(R_1);71724;500;4.288385;
./Instances/small/kiva-10-500-5.map;./Instances/small/kiva-10.task;5000;21;35;10;312;50;500;GATP;GATP(Greedy);1219;ES_1(R_1);71484;500;2.586793;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;20;322;2496;500;GATP;GATP(Greedy);2576;ES_1(R_1);119638;500;0.057676;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;20;322;999;500;GATP;GATP(Greedy);1073;ES_1(R_1);88396;500;0.068571;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-1.task;5000;21;35;20;322;500;500;GATP;GATP(Greedy);702;ES_1(R_1);76950;500;0.322989;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-2.task;5000;21;35;20;322;250;500;GATP;GATP(Greedy);702;ES_1(R_1);75652;500;2.602291;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-5.task;5000;21;35;20;322;100;500;GATP;GATP(Greedy);684;ES_1(R_1);74830;500;3.451404;
./Instances/small/kiva-20-500-5.map;./Instances/small/kiva-10.task;5000;21;35;20;322;50;500;GATP;GATP(Greedy);763;ES_1(R_1);76684;500;2.352677;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GATP;GATP(Greedy);2555;ES_1(R_1);145104;500;0.074969;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GATP;GATP(Greedy);1093;ES_1(R_1);99956;500;0.070287;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GATP;GATP(Greedy);577;ES_1(R_1);83956;500;0.101976;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GATP;GATP(Greedy);527;ES_1(R_1);79614;500;1.033647;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GATP;GATP(Greedy);495;ES_1(R_1);78090;500;2.622597;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-10.task;5000;21;35;30;332;50;500;GATP;GATP(Greedy);530;ES_1(R_1);79252;500;2.030439;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;40;342;2496;500;GATP;GATP(Greedy);2563;ES_1(R_1);171390;500;0.069827;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;40;342;999;500;GATP;GATP(Greedy);1079;ES_1(R_1);110268;500;0.070614;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-1.task;5000;21;35;40;342;500;500;GATP;GATP(Greedy);598;ES_1(R_1);90638;500;0.097011;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-2.task;5000;21;35;40;342;250;500;GATP;GATP(Greedy);396;ES_1(R_1);81334;500;0.375238;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-5.task;5000;21;35;40;342;100;500;GATP;GATP(Greedy);394;ES_1(R_1);80234;500;1.991093;
./Instances/small/kiva-40-500-5.map;./Instances/small/kiva-10.task;5000;21;35;40;342;50;500;GATP;GATP(Greedy);390;ES_1(R_1);80290;500;1.781758;
./Instances/small/kiva-50-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;50;352;2496;500;GATP;GATP(Greedy);2594;ES_1(R_1);198856;500;0.076442;
./Instances/small/kiva-50-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;50;352;999;500;GATP;GATP(Greedy);1112;ES_1(R_1);123196;500;0.072486;
./Instances/small/kiva-50-500-5.map;./Instances/small/kiva-1.task;5000;21;35;50;352;500;500;GATP;GATP(Greedy);585;ES_1(R_1);97188;500;0.103232;
./Instances/small/kiva-50-500-5.map;./Instances/small/kiva-2.task;5000;21;35;50;352;250;500;GATP;GATP(Greedy);366;ES_1(R_1);85892;500;0.182319;
./Instances/small/kiva-50-500-5.map;./Instances/small/kiva-5.task;5000;21;35;50;352;100;500;GATP;GATP(Greedy);344;ES_1(R_1);83468;500;1.484819;
./Instances/small/kiva-50-500-5.map;./Instances/small/kiva-10.task;5000;21;35;50;352;50;500;GATP;GATP(Greedy);368;ES_1(R_1);85870;500;1.551372;
